City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
335,Georgetown,5.4112,100.3354,77.95,91,20,5.99,MY,1670539899
336,Urubicha,-15.3833,-62.95,84.67,53,81,3.62,BO,1670540135
337,Flinders,-34.5833,150.8552,67.05,50,12,5.99,AU,1670540135
338,Byron Bay,-28.65,153.6167,66.79,78,100,11.48,AU,1670540136
339,Saldanha,-33.0117,17.9442,66.58,88,51,9.17,ZA,1670540136
340,Williston,48.147,-103.618,25.54,93,14,5.01,US,1670540136
341,Soloneshnoye,51.6544,84.3197,-2.61,84,74,5.75,RU,1670540137
342,Salalah,17.0151,54.0924,72.5,47,41,7.18,OM,1670540137
343,Tevaitoa,-16.7833,-151.5,80.76,71,91,12.75,PF,1670540137
344,Dingle,10.9995,122.6711,74.82,95,100,5.64,PH,1670540138
345,Manbij,36.5281,37.9549,51.71,65,98,5.82,SY,1670540138
346,Ouadda,8.0777,22.4007,68.58,31,92,4.72,CF,1670540138
347,Delta Del Tigre,-34.7633,-56.3853,88.21,45,0,4.61,UY,1670540139
348,Usinsk,65.9939,57.5281,-15.97,94,47,6.93,RU,1670540139
349,Pacific Grove,36.6177,-121.9166,57.07,75,100,11.99,US,1670540127
350,Matay,28.419,30.7792,61.47,43,50,1.5,EG,1670540140
351,Bolu,40.6667,31.5833,41.81,75,66,4.94,TR,1670540141
352,Kamenka,51.3223,42.7678,20.97,93,100,16.87,RU,1670540141
353,Tingi,-11.3,35.0333,65.08,81,69,3.24,TZ,1670540141
354,Beisfjord,68.3751,17.5988,32.05,84,100,7.9,NO,1670540142
355,Kavaratti,10.5669,72.642,82.09,67,99,12.48,IN,1670540142
356,Grimshaw,56.1834,-117.6027,19.02,86,100,5.75,CA,1670540142
357,Port Moresby,-9.4431,147.1797,78.22,94,40,5.75,PG,1670540143
358,Eureka,40.8021,-124.1637,47.25,95,100,1.99,US,1670540033
359,Guangyuan,32.442,105.823,44.74,75,87,1.52,CN,1670540143
360,Christchurch,-43.5333,172.6333,66.94,72,75,11.5,NZ,1670540135
361,Wakkanai,45.4094,141.6739,30.94,61,100,16.37,JP,1670540144
362,Yar-Sale,66.8333,70.8333,-22.16,94,80,14.2,RU,1670540144
363,Sao Mateus,-18.7161,-39.8589,72.66,96,42,7.02,BR,1670539870
364,Namibe,-15.1961,12.1522,69.53,77,65,4.74,AO,1670540145
365,Northam,51.0333,-4.2167,33.39,82,63,5.14,GB,1670540145
366,Buin,-33.7333,-70.75,88.02,34,0,9.75,CL,1670540146
367,Lere,10.387,8.5726,65.28,27,1,6.22,NG,1670540146
368,Valparaiso,-33.0393,-71.6273,75.43,85,0,13.8,CL,1670539895
369,Moron,-34.6534,-58.6198,93.09,61,11,3.09,AR,1670540147
370,Toguchin,55.2353,84.3858,-8.77,96,24,5.01,RU,1670540147
371,Serenje,-13.2325,30.2352,62.24,92,74,3.22,ZM,1670540147
372,Ostrovnoy,68.0531,39.5131,25.11,91,100,28.99,RU,1670540148
373,Vestmanna,62.1564,-7.1664,36.52,81,75,29.93,FO,1670540148
374,Kenai,60.5544,-151.2583,15.13,81,24,2.98,US,1670540149
375,Sao Filipe,14.8961,-24.4956,76.35,76,3,5.5,CV,1670540149
376,Acapulco,16.8634,-99.8901,82.15,69,0,7.63,MX,1670540150
377,Rosetta,31.4044,30.4164,61.07,61,89,9.44,EG,1670540150
378,Ahuimanu,21.4447,-157.8378,81.61,70,82,8.99,US,1670540150
379,Batemans Bay,-35.7167,150.1833,61.11,39,8,4.92,AU,1670540151
380,Vila Franca Do Campo,37.7167,-25.4333,59.41,85,59,6.8,PT,1670540151
381,Gibraleon,37.3763,-6.969,57.02,85,41,11.92,ES,1670540152
382,Longfeng,46.55,125.1167,3.79,91,55,6.13,CN,1670540152
383,Banyo,6.75,11.8167,66.63,31,80,2.35,CM,1670540153
384,Mizan Teferi,6.9833,35.5833,60.57,89,80,2.55,ET,1670540153
385,Taoudenni,22.6783,-3.9836,79.2,15,27,7.74,ML,1670540153
386,Hambantota,6.1241,81.1185,75.04,69,100,15.08,LK,1670540154
387,Bandundu,-3.3167,17.3667,68.83,94,100,2.59,CD,1670540154
388,Tigre,-34.426,-58.5796,93.34,58,0,8.05,AR,1670540154
389,Cap Malheureux,-19.9842,57.6142,76.46,77,15,1.99,MU,1670540155
390,Barinas,8.6226,-70.2075,75.24,69,73,4.61,VE,1670539978
391,Namie,37.4833,141.0,40.71,80,9,3.51,JP,1670540155
392,Chaykovskiy,56.7686,54.1148,-1.66,92,43,5.91,RU,1670540156
393,Charters Towers,-20.1,146.2667,88.07,37,1,8.43,AU,1670540156
394,Arifwala,30.294,73.0735,61.11,31,0,3.89,PK,1670540156
395,Fiumicino,41.7675,12.2291,60.35,83,0,10.36,IT,1670540157
396,Goba,7.0167,39.9833,48.0,73,88,4.36,ET,1670540157
397,Rio Gallegos,-51.6226,-69.2181,57.25,58,40,16.11,AR,1670540158
398,Rabak,13.1809,32.74,76.89,37,16,12.24,SD,1670540158
399,Pevek,69.7008,170.3133,-17.68,95,86,3.09,RU,1670540159
400,Magan,39.9683,-3.931,55.53,81,61,10.78,ES,1670540159
401,Hurghada,27.2574,33.8129,64.44,32,0,5.75,EG,1670540159
402,Sitka,57.0531,-135.33,33.69,86,75,18.41,US,1670540160
403,San Patricio,28.017,-97.5169,79.54,71,0,11.34,US,1670540160
404,Esmeraldas,-19.7625,-44.3139,81.64,81,43,1.54,BR,1670540161
